"Figure 3: 63% of businesses continuing to trade and reporting turnover outside of normal range reported turnover was ""substantially lower than normal",""
"UK, 23 March to 9 April 2020",""
"",""
"Notes","1. Real estate services, other services, and the mining and quarrying sector have been removed because of their low response rates, but their totals are included in “all industries”.
2. Final results, Wave 2 of the Office for National Statistics’ (ONS’) Business Impact of Coronavirus (COVID-19) Survey (BICS) (n = 2,849).
"
"Unit","%"
"",""
"","Not sure","Turnover was a little higher than normal","Turnover was substantially higher than normal","Turnover was a little lower than normal","Turnover was substantially lower than normal"
"Professional Scientific And Technical Activities","3.0","0.7","1.0","44.4","50.8"
"Education","3.1","0.0","0.6","44.7","51.6"
"Information And Communication","2.9","0.7","2.9","39.1","54.3"
"Manufacturing","1.9","6.2","7.0","28.2","56.7"
"Water Supply Sewerage Waste Management And Remediation Activities","4.9","0.0","0.0","31.7","63.4"
"Administrative And Support Service Activities","2.1","2.1","1.3","27.3","67.2"
"Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles","1.0","7.4","10.6","13.3","67.8"
"Arts Entertainment And Recreation","0.0","0.0","2.9","28.6","68.6"
"Construction","2.1","0.7","0.7","25.7","70.8"
"Transportation And Storage","0.5","3.0","2.0","23.2","71.2"
"Human Health And Social Work Activities","0.0","1.9","0.0","24.5","73.6"
"Accommodation And Food Service Activities","0.0","5.3","2.6","5.3","86.8"
"All Industries","1.8","3.7","4.3","27.1","63.1"
